# reccmp-compatible function catalog for SERVER
# Generated by validate.py — do not edit manually
#
# Columns: address (hex) | name | symbol | type | size (decimal)

address|name|symbol|type|size
0x1001a692|crt_call_001|_crt_call_001|library|15
0x1001a6a1|||function|163
0x1001a746|lock_0d|_lock_0d|library|9
0x1001a74f|unlock_0d|_unlock_0d|library|9
0x1001a758|crt_initterm|_crt_initterm|library|26
0x1001a772|crt_dosmaperr|_crt_dosmaperr|library|115
0x1001a7e5|getptd_off8|_getptd_off8|library|9
0x1001a7ee|getptd_offc|_getptd_offc|library|9
0x1001a7f7|crt_call_global|_crt_call_global|library|18
0x1001a809|nh_malloc_base|__nh_malloc_base|library|44
0x1001a835|||function|231
0x1001a89c|unlock_09a|_unlock_09a|library|9
0x1001a8fb|unlock_09b|_unlock_09b|library|9
0x1001a931|crt_locked_call4a|_crt_locked_call4a|library|47
0x1001a960|||function|266
0x1001aa6a|crt_locked_call4b|_crt_locked_call4b|library|47
0x1001aa99|||function|232
0x1001ab81|FreeHeapBlockWithRuntimeLock|_FreeHeapBlockWithRuntimeLock|function|215
0x1001abeb|unlock_09c|_unlock_09c|library|9
0x1001ac43|unlock_09d|_unlock_09d|library|9
0x1001ac70|crt_alloca_probe|_crt_alloca_probe|library|47
0x1001ac9f|crt_fclose|_crt_fclose|library|46
0x1001accd|crt_flush|_crt_flush|library|92
0x1001ad29|signal_lock|_signal_lock|library|9
0x1001ad32|||function|164
0x1001add6|crt_locked_putc|_crt_locked_putc|library|59
0x1001ae20|strncpy|_strncpy|function|254
0x1001af30|strchr|_strchr|function|193
0x1001aff0|strstr|_strstr|function|128
0x1001b070|||function|23
0x1001b088|init_fptr_table|_init_fptr_table|library|56
0x1001b0c0|crt_toupper|_crt_toupper|library|111
0x1001b12f|||function|204
0x1001b200|||function|664
0x1001b535|crt_getptd_set|_crt_getptd_set|library|13
0x1001b542|crt_rand|_crt_rand|library|34
0x1001b564|crt_ftol|_crt_ftol|library|39
0x1001b58b|printf|_printf|library|65
0x1001b5cc|||function|781
0x1001b757|unlock_09e|_unlock_09e|library|9
0x1001b8a5|?|?|library|11
0x1001b8fb|||function|217
0x1001b9d4|DllMainCRTStartup|_DllMainCRTStartup|library|157
0x1001ba71|crt_amsg_exit|_crt_amsg_exit|library|48
0x1001bb60|crt_lock_stream|_crt_lock_stream|library|47
0x1001bb8f|crt_lock_file|_crt_lock_file|library|35
0x1001bbb2|crt_unlock_stream|_crt_unlock_stream|library|47
0x1001bbe1|crt_unlock_file|_crt_unlock_file|library|35
0x1001bc04|close|__close|library|93
0x1001bc61|func_1001bc61|_func_1001bc61|library|131
0x1001bce4|crt_free_buf|_crt_free_buf|library|43
0x1001bd0f|||function|141
0x1001bd9c|crt_cond_cleanup|_crt_cond_cleanup|library|42
0x1001bdd0|strlen|_strlen|library|123
0x1001be4b|OpenFileStreamCore|_OpenFileStreamCore|function|368
0x1001bfbb|||function|200
0x1001c083|||function|280
0x1001c19b|||function|1825
0x1001c8dc|write_char|_write_char|library|53
0x1001c911|crt_loop_call|_crt_loop_call|library|49
0x1001c942|crt_write_chars|_crt_write_chars|library|56
0x1001c97a|stream_read_dword|_stream_read_dword|library|13
0x1001c987|stream_read_qword|_stream_read_qword|library|16
0x1001c997|stream_read_word|_stream_read_word|library|14
0x1001c9a5|||function|444
0x1001cb61|ioterm|__ioterm|library|84
0x1001cbb5|lseek|__lseek|library|101
0x1001cc1a|lseek_lk|__lseek_lk|library|115
0x1001cc8d|||function|202
0x1001cd57|format_digits|_format_digits|library|40
0x1001cd7f|||function|352
0x1001cedf|||function|194
0x1001cfa1|crt_delete_cs|_crt_delete_cs|library|41
0x1001cfca|crt_delete_locks|_crt_delete_locks|library|108
0x1001d036|crt_lock_init|_crt_lock_init|library|97
0x1001d097|crt_unlock|_crt_unlock|library|21
0x1001d0ac|mtinit|__mtinit|library|84
0x1001d100|crt_close_handle|_crt_close_handle|library|30
0x1001d11e|set_vtable|_set_vtable|library|19
0x1001d131|crt_getptd|_crt_getptd|library|103
0x1001d198|||function|160
0x1001d238|crt_gfunc_call|_crt_gfunc_call|library|27
0x1001d253|crt_get_osver|_crt_get_osver|library|45
0x1001d280|||function|328
0x1001d3c8|crt_heap_init|_crt_heap_init|library|93
0x1001d425|||function|168
0x1001d4cd|sbh_heap_init|___sbh_heap_init|library|72
0x1001d515|crt_find_entry|_crt_find_entry|library|43
0x1001d540|||function|809
0x1001d869|||function|777
0x1001db72|||function|177
0x1001dc23|||function|251
0x1001dd1e|||function|758
0x1001e014|||function|324
0x1001e158|sbh_decommit_pages|___sbh_decommit_pages|library|86
0x1001e1ae|||function|194
0x1001e270|old_sbh_find_block|___old_sbh_find_block|library|87
0x1001e2c7|update_page_entry|_update_page_entry|library|69
0x1001e30c|||function|520
0x1001e514|||function|292
0x1001e638|||function|169
0x1001e6e4|crt_except_handler3|_crt_except_handler3|library|32
0x1001e726|__local_unwind2|___local_unwind2|function|104
0x1001e7ba|func_1001e7ba|_func_1001e7ba|library|24
0x1001e899|func_1001e899@4|_func_1001e899@4|library|27
0x1001e8b4|crt_write_wrap|_crt_write_wrap|library|101
0x1001e919|||function|395
0x1001eab0|||function|664
0x1001ede5|||function|220
0x1001eec1|crt_lseek_wrap|_crt_lseek_wrap|library|101
0x1001ef26|||function|473
0x1001f0ff|||function|147
0x1001f192|crt_const_call|_crt_const_call|library|18
0x1001f1a4|IsNonwritableInCurrentImage|___IsNonwritableInCurrentImage|library|62
0x1001f1e2|IsProcessorFeaturePresent|___IsProcessorFeaturePresent|library|41
0x1001f20b|func_1001f20b|_func_1001f20b|library|90
0x1001f2cb|fassign|__fassign|library|62
0x1001f309|||function|97
0x1001f36a|||function|194
0x1001f42c|func_1001f42c|_func_1001f42c|library|85
0x1001f481|||function|167
0x1001f528|||function|147
0x1001f5bb|cfltcvt|__cfltcvt|library|81
0x1001f60c|crt_strcpy_advance|_crt_strcpy_advance|library|37
0x1001f631|||function|511
0x1001f855|||function|117
0x1001f8d0|CopyCString|_CopyCString|function|7
0x1001f8e0|||function|224
0x1001f9c0|||function|185
0x1001fa79|||function|153
0x1001fb12|||function|436
0x1001fcc6|||function|306
0x1001fdf8|crt_runtime_error|_crt_runtime_error|library|57
0x1001fe31|||function|339
0x1001ff84|||function|289
0x1002001d|unlock_09f|_unlock_09f|library|9
0x100200a6|unlock_09g|_unlock_09g|library|9
0x10020142|||function|291
0x10020265|func_10020265|_func_10020265|library|124
0x100202e1|||function|127
0x10020360|get_osfhandle|__get_osfhandle|library|66
0x100203a2|EnterEntitySlotCriticalSection|_EnterEntitySlotCriticalSection|function|95
0x10020401|slot_unlock|_slot_unlock|library|34
0x10020423|slot_check_flag|_slot_check_flag|library|41
0x1002044c|||function|719
0x1002071b|crt_buf_alloc|_crt_buf_alloc|library|68
0x1002075f|wctomb|_wctomb|library|89
0x100207b8|wctomb_lk|___wctomb_lk|library|105
0x10020830|__aulldiv|___aulldiv|function|104
0x100208a0|__aullrem|___aullrem|function|117
0x10020915|crt_once_init|_crt_once_init|library|46
0x10020943|||function|647
0x10020bca|crt_locked_call|_crt_locked_call|library|33
